Bratislavsky kraj , Senec , Nova Dedinka , 2150 , 1295 , 1295 , 1289 , 2172 , 1174 , 1174 , 1145 , 81 , 791 , 3 , 107 , 30 , 68 , 36 , 0 , 56 , 0 , 105 , 2 , 2 , 4 , 4 , 914 , 231
Bratislavsky kraj , Senec , Novy Svet , 82 , 56 , 56 , 56 , 85 , 44 , 44 , 43 , 0 , 19 , 2 , 9 , 3 , 6 , 1 , 0 , 0 , 1 , 14 , 0 , 0 , 0 , 1 , 18 , 25
Bratislavsky kraj , Senec , Reca , 1255 , 658 , 658 , 648 , 1274 , 564 , 564 , 550 , 91 , 321 , 4 , 59 , 18 , 45 , 19 , 1 , 19 , 2 , 65 , 2 , 0 , 1 , 1 , 430 , 120
Bratislavsky kraj , Senec , Rovinka , 3268 , 2054 , 2054 , 2049 , 3285 , 1833 , 1833 , 1809 , 35 , 1243 , 9 , 227 , 62 , 108 , 46 , 0 , 70 , 2 , 238 , 4 , 4 , 0 , 1 , 1408 , 401
Bratislavsky kraj , Senec , Senec , 15285 , 8200 , 8199 , 8156 , 15289 , 7366 , 7366 , 7223 , 247 , 4525 , 44 , 864 , 273 , 417 , 220 , 0 , 425 , 8 , 1074 , 15 , 16 , 21 , 7 , 5279 , 1944
Bratislavsky kraj , Senec , Tomasov , 2124 , 1163 , 1163 , 1158 , 2135 , 1117 , 1117 , 1106 , 118 , 713 , 3 , 97 , 14 , 45 , 17 , 0 , 51 , 1 , 94 , 2 , 0 , 1 , 2 , 923 , 183
Bratislavsky kraj , Senec , Turen , 920 , 521 , 521 , 518 , 923 , 470 , 470 , 462 , 114 , 274 , 3 , 30 , 8 , 25 , 11 , 1 , 25 , 1 , 23 , 1 , 0 , 0 , 2 , 398 , 64
Bratislavsky kraj , Senec , Velky Biel , 2164 , 1190 , 1190 , 1186 , 2213 , 1093 , 1091 , 1080 , 83 , 710 , 11 , 81 , 30 , 58 , 30 , 0 , 62 , 2 , 105 , 2 , 4 , 6 , 2 , 857 , 223
Bratislavsky kraj , Senec , Vlky , 372 , 212 , 212 , 209 , 370 , 171 , 171 , 168 , 50 , 117 , 0 , 12 , 2 , 7 , 6 , 1 , 6 , 1 , 7 , 0 , 0 , 0 , 0 , 148 , 20
Bratislavsky kraj , Senec , Zalesie , 1529 , 1079 , 1079 , 1078 , 1528 , 980 , 980 , 960 , 6 , 695 , 1 , 92 , 32 , 43 , 32 , 0 , 64 , 1 , 104 , 1 , 3 , 4 , 0 , 745 , 215
Trnavsky kraj , Dunajska Streda , Bac , 472 , 248 , 248 , 238 , 475 , 221 , 221 , 219 , 63 , 106 , 0 , 14 , 1 , 7 , 3 , 1 , 24 , 1 , 15 , 3 , 0 , 0 , 0 , 159 , 60
Trnavsky kraj , Dunajska Streda , Baka , 973 , 295 , 293 , 290 , 981 , 297 , 297 , 294 , 98 , 170 , 1 , 3 , 0 , 1 , 2 , 3 , 2 , 0 , 6 , 0 , 2 , 0 , 2 , 272 , 22
Trnavsky kraj , Dunajska Streda , Balon , 619 , 156 , 156 , 154 , 620 , 155 , 155 , 152 , 49 , 81 , 0 , 4 , 1 , 5 , 3 , 3 , 3 , 0 , 5 , 0 , 0 , 0 , 0 , 136 , 16
Trnavsky kraj , Dunajska Streda , Bellova Ves , 256 , 135 , 135 , 134 , 252 , 116 , 116 , 114 , 2 , 78 , 0 , 15 , 2 , 9 , 1 , 0 , 2 , 0 , 25 , 0 , 0 , 0 , 0 , 85 , 29
Trnavsky kraj , Dunajska Streda , Blahova , 308 , 167 , 167 , 166 , 311 , 124 , 124 , 121 , 23 , 79 , 0 , 28 , 2 , 5 , 3 , 1 , 2 , 0 , 21 , 0 , 0 , 2 , 0 , 89 , 32
Trnavsky kraj , Dunajska Streda , Blatna na Ostrove , 766 , 322 , 322 , 320 , 769 , 276 , 276 , 274 , 76 , 182 , 0 , 22 , 3 , 6 , 7 , 0 , 2 , 1 , 18 , 1 , 0 , 0 , 2 , 231 , 43
Trnavsky kraj , Dunajska Streda , Bodiky , 286 , 135 , 135 , 135 , 311 , 177 , 177 , 177 , 24 , 71 , 1 , 15 , 3 , 8 , 3 , 0 , 2 , 1 , 6 , 1 , 0 , 0 , 0 , 148 , 29
Trnavsky kraj , Dunajska Streda , Bohelov , 296 , 102 , 102 , 101 , 294 , 84 , 84 , 83 , 44 , 40 , 0 , 3 , 0 , 3 , 0 , 1 , 2 , 0 , 8 , 0 , 0 , 0 , 0 , 61 , 22
Trnavsky kraj , Dunajska Streda , Cakany , 504 , 269 , 269 , 267 , 505 , 235 , 235 , 234 , 56 , 162 , 0 , 18 , 3 , 7 , 8 , 0 , 5 , 0 , 7 , 0 , 1 , 0 , 0 , 212 , 22
Trnavsky kraj , Dunajska Streda , Cenkovce , 902 , 367 , 367 , 367 , 808 , 345 , 345 , 345 , 99 , 221 , 2 , 15 , 0 , 12 , 2 , 0 , 5 , 0 , 10 , 0 , 0 , 1 , 0 , 310 , 35
Trnavsky kraj , Dunajska Streda , Cilizska Radvan , 986 , 184 , 184 , 182 , 987 , 168 , 168 , 166 , 60 , 96 , 1 , 7 , 0 , 5 , 2 , 2 , 4 , 0 , 4 , 1 , 0 , 0 , 0 , 149 , 17
Trnavsky kraj , Dunajska Streda , Dobrohost , 433 , 216 , 216 , 215 , 441 , 204 , 204 , 202 , 39 , 139 , 0 , 12 , 3 , 5 , 4 , 0 , 1 , 0 , 11 , 0 , 1 , 0 , 0 , 174 , 28
Trnavsky kraj , Dunajska Streda , Dolny Bar , 597 , 198 , 197 , 196 , 598 , 163 , 163 , 162 , 64 , 98 , 1 , 4 , 2 , 5 , 8 , 3 , 1 , 0 , 8 , 0 , 1 , 1 , 0 , 133 , 29
Trnavsky kraj , Dunajska Streda , Dolny Stal , 1624 , 409 , 409 , 406 , 1632 , 352 , 352 , 343 , 181 , 174 , 0 , 7 , 0 , 11 , 0 , 3 , 6 , 0 , 19 , 1 , 1 , 2 , 1 , 273 , 70
Trnavsky kraj , Dunajska Streda , Dunajska Streda , 19293 , 6041 , 6034 , 5991 , 19279 , 5827 , 5825 , 5762 , 1231 , 3612 , 18 , 331 , 63 , 124 , 72 , 28 , 143 , 9 , 323 , 11 , 2 , 16 , 8 , 4938 , 824
Trnavsky kraj , Dunajska Streda , Dunajsky Klatov , 578 , 149 , 149 , 148 , 574 , 136 , 136 , 136 , 40 , 84 , 0 , 7 , 0 , 5 , 2 , 0 , 1 , 0 , 8 , 0 , 0 , 0 , 1 , 118 , 18
Trnavsky kraj , Dunajska Streda , Gabcikovo , 4332 , 1204 , 1204 , 1194 , 4428 , 1113 , 1113 , 1075 , 350 , 637 , 2 , 61 , 7 , 34 , 10 , 16 , 19 , 2 , 53 , 0 , 0 , 2 , 1 , 879 , 196
Trnavsky kraj , Dunajska Streda , Holice , 1770 , 602 , 602 , 598 , 1742 , 494 , 490 , 487 , 208 , 301 , 5 , 29 , 6 , 13 , 0 , 8 , 8 , 0 , 17 , 0 , 0 , 1 , 2 , 396 , 91
Trnavsky kraj , Dunajska Streda , Horna Potôn , 1731 , 601 , 601 , 601 , 1738 , 529 , 528 , 523 , 165 , 305 , 0 , 27 , 3 , 31 , 5 , 3 , 10 , 2 , 42 , 1 , 1 , 5 , 1 , 436 , 87
